0.86563  	0.30817  	-0.5573  	-0.2630  	0.07377  	-0.3653  	-0.2380  	0.41354  	0.41689  	-0.5373  	-0.0168  	0.54800  	0.09778  	-0.6145  	-1.0442  	-0.0364  	0.56874  	0.11082  	1.24964  	-0.3087  	0.24283  	1.51983  	0.60788  	-0.1004  	0.05861  	0.26692  	0.37507  	-0.4367  	-1.0712  	0.19311  	0.17853  	0.28196  	0.08163  	-0.1814  	0.38036  	0.08286  	0.65463  	0.29138  	-0.5846  	-0.0491  	0.25633  	0.01028  	0.01872  	0.36845  	-0.0607  	-0.0456  	-0.0809  	0.18376  	0.14372  	-0.1766  	-0.1038  	-0.0585  	0.00118  	0.00220  	-0.0729  	0.05850  	-0.0370  	0.00966  	0.01324  	-0.0406  	-0.0359  	0.04901  	0.03542  	0.01316  	0.16635  	-0.0134  	0.04725  	0.00955  	0.00428  	0.66821  	
0.81626  	0.31144  	-0.6009  	-0.2730  	0.05940  	-0.4018  	-0.2602  	0.39525  	0.40306  	-0.5534  	0.00131  	0.52269  	0.08257  	-0.6225  	-1.0166  	-0.0516  	0.57323  	0.10402  	1.24045  	-0.3258  	0.26594  	1.53240  	0.61573  	-0.0852  	0.05532  	0.27039  	0.37217  	-0.4639  	-1.0935  	0.18834  	0.17941  	0.28910  	0.07260  	-0.1832  	0.39035  	0.06331  	0.67540  	0.29489  	-0.6029  	-0.0505  	0.26261  	0.00752  	0.00570  	0.36968  	-0.0623  	-0.0406  	-0.0813  	0.17457  	0.13617  	-0.1660  	-0.1031  	-0.0582  	0.00467  	0.00297  	-0.0757  	0.05847  	-0.0397  	0.01103  	0.01728  	-0.0421  	-0.0373  	0.05542  	0.03208  	0.00848  	0.16432  	-0.0132  	0.04923  	0.00837  	0.00524  	0.67119  	
0.82178  	0.30310  	-0.6219  	-0.2625  	0.07259  	-0.3933  	-0.2487  	0.38703  	0.40436  	-0.5525  	-0.0115  	0.50155  	0.08964  	-0.6278  	-1.0006  	-0.0643  	0.57786  	0.09927  	1.24664  	-0.3193  	0.25165  	1.53751  	0.61434  	-0.0822  	0.06333  	0.26540  	0.38305  	-0.4635  	-1.0890  	0.19376  	0.17634  	0.28651  	0.06662  	-0.1817  	0.39846  	0.06651  	0.66926  	0.29032  	-0.5983  	-0.0336  	0.25343  	0.00838  	0.00207  	0.36973  	-0.0614  	-0.0417  	-0.0832  	0.17541  	0.13511  	-0.1662  	-0.1000  	-0.0561  	0.00207  	0.00204  	-0.0751  	0.06060  	-0.0388  	0.01109  	0.01636  	-0.0442  	-0.0379  	0.05483  	0.03124  	0.00813  	0.16276  	-0.0131  	0.05073  	0.00729  	0.00590  	0.67389  	
0.91594  	0.31196  	-0.5625  	-0.1523  	0.15526  	-0.3062  	-0.2142  	0.39636  	0.37731  	-0.5783  	-0.1553  	0.48774  	0.14799  	-0.5247  	-0.9496  	-0.0402  	0.54941  	0.11405  	1.25655  	-0.3029  	0.18457  	1.56215  	0.54765  	-0.0967  	0.14902  	0.25317  	0.39199  	-0.4028  	-0.9928  	0.23669  	0.16413  	0.27314  	0.06754  	-0.1804  	0.39822  	0.10953  	0.59476  	0.24515  	-0.5609  	-0.0084  	0.23356  	0.02479  	0.00244  	0.37154  	-0.0608  	-0.0461  	-0.0863  	0.19522  	0.15208  	-0.1800  	-0.0935  	-0.0589  	0.00130  	-0.0027  	-0.0730  	0.06387  	-0.0354  	0.01051  	0.00872  	-0.0390  	-0.0394  	0.05035  	0.03758  	0.01071  	0.16165  	-0.0133  	0.05175  	0.00632  	0.00626  	0.67629  	
0.92462  	0.29526  	-0.5623  	-0.0977  	0.21929  	-0.3469  	-0.1934  	0.37855  	0.37258  	-0.5520  	-0.1722  	0.49953  	0.16009  	-0.5520  	-1.0230  	-0.0490  	0.49932  	0.17620  	1.23875  	-0.2259  	0.07614  	1.53927  	0.45659  	-0.1923  	0.15889  	0.26151  	0.30009  	-0.3087  	-0.8586  	0.26027  	0.16155  	0.25996  	0.09403  	-0.1716  	0.34538  	0.16829  	0.51679  	0.22528  	-0.4976  	0.01442  	0.25607  	0.02444  	0.00347  	0.37271  	-0.0511  	-0.0456  	-0.0840  	0.20475  	0.15837  	-0.1831  	-0.0838  	-0.0610  	0.00628  	-0.0058  	-0.0683  	0.06187  	-0.0293  	0.01159  	0.01381  	-0.0375  	-0.0430  	0.04211  	0.03414  	0.00819  	0.16101  	-0.0137  	0.05229  	0.00545  	0.00632  	0.67842  	
0.94429  	0.26673  	-0.5572  	-0.0508  	0.25002  	-0.2770  	-0.1964  	0.38984  	0.36442  	-0.5461  	-0.3241  	0.39610  	0.22173  	-0.4642  	-0.9938  	-0.1045  	0.51107  	0.17483  	1.21951  	-0.2716  	0.03977  	1.59390  	0.45140  	-0.1960  	0.21268  	0.24378  	0.34092  	-0.3323  	-0.8182  	0.30812  	0.16505  	0.26859  	0.06367  	-0.1618  	0.33096  	0.16356  	0.50234  	0.21262  	-0.4674  	0.02446  	0.25953  	0.03328  	0.00590  	0.37976  	-0.0581  	-0.0420  	-0.0926  	0.21867  	0.16506  	-0.1872  	-0.0882  	-0.0587  	0.00378  	-0.0095  	-0.0673  	0.06377  	-0.0338  	0.01191  	0.01229  	-0.0370  	-0.0398  	0.04830  	0.03013  	0.00896  	0.16083  	-0.0143  	0.05234  	0.00468  	0.00607  	0.68026  	
0.72278  	0.24471  	-0.7870  	-0.2368  	0.15568  	-0.5473  	-0.1723  	0.25264  	0.32232  	-0.4529  	-0.2722  	0.38147  	0.15594  	-0.5594  	-1.0166  	-0.2348  	0.52672  	0.19408  	1.22724  	-0.2317  	-0.0288  	1.51849  	0.40967  	-0.1894  	0.20328  	0.27626  	0.30223  	-0.3163  	-0.8189  	0.26626  	0.15126  	0.25758  	0.05803  	-0.1724  	0.31724  	0.19790  	0.45460  	0.21695  	-0.4931  	0.05878  	0.29980  	0.03663  	0.00657  	0.37261  	-0.0520  	-0.0369  	-0.0847  	0.20102  	0.15281  	-0.1786  	-0.1009  	-0.0555  	-0.0082  	-0.0015  	-0.0730  	0.05309  	-0.0399  	0.00865  	0.01825  	-0.0464  	-0.0437  	0.04194  	0.02225  	0.00225  	0.16112  	-0.0152  	0.05190  	0.00402  	0.00552  	0.68181  	
0.35556  	0.12101  	-0.9100  	-0.3916  	0.13100  	-0.6957  	-0.2240  	0.09431  	0.24683  	-0.3862  	-0.1541  	0.44861  	0.03608  	-1.0093  	-1.3006  	-0.1614  	0.51272  	0.23981  	1.25245  	-0.1526  	-0.2239  	1.52609  	0.43446  	-0.2346  	0.17741  	0.27608  	0.15899  	-0.0504  	-0.6662  	0.25817  	0.17305  	0.24404  	0.00066  	-0.1467  	0.15242  	0.31356  	0.31548  	0.19822  	-0.4595  	0.06997  	0.34758  	0.00730  	-0.0012  	0.38230  	-0.0594  	-0.0466  	-0.0893  	0.18668  	0.14057  	-0.1846  	-0.0928  	-0.0554  	0.00016  	-0.0071  	-0.0701  	0.03877  	-0.0198  	0.01551  	0.02117  	-0.0506  	-0.0427  	0.03349  	0.03786  	0.01311  	0.16189  	-0.0176  	0.05053  	0.00425  	0.00361  	0.67962  	
0.44365  	0.13812  	-0.8766  	-0.3335  	0.16521  	-0.6412  	-0.2765  	0.14153  	0.27031  	-0.4259  	-0.1913  	0.51040  	0.04231  	-0.9681  	-1.2874  	-0.1291  	0.53142  	0.22276  	1.24754  	-0.1438  	-0.1929  	1.52588  	0.48988  	-0.2259  	0.10909  	0.29505  	0.13575  	-0.0726  	-0.7297  	0.23289  	0.17768  	0.23990  	0.02144  	-0.1493  	0.18233  	0.28023  	0.34900  	0.19634  	-0.4844  	0.06688  	0.33465  	0.01139  	0.00985  	0.38965  	-0.0578  	-0.0522  	-0.0819  	0.18482  	0.13799  	-0.1747  	-0.0899  	-0.0615  	0.00014  	-0.0056  	-0.0754  	0.04087  	-0.0241  	0.01219  	0.02013  	-0.0471  	-0.0527  	0.03478  	0.03054  	0.01288  	0.16235  	-0.0194  	0.04874  	0.00385  	0.00262  	0.67669  	
0.46164  	0.15879  	-0.8280  	-0.3775  	0.12232  	-0.6017  	-0.2646  	0.18242  	0.32373  	-0.3795  	-0.2281  	0.53442  	0.12682  	-0.8982  	-1.2954  	-0.1099  	0.53841  	0.25657  	1.25939  	-0.1286  	-0.1904  	1.50898  	0.50031  	-0.2395  	0.07947  	0.30707  	0.10016  	-0.0924  	-0.7513  	0.18500  	0.22142  	0.22937  	0.06849  	-0.1510  	0.16344  	0.23314  	0.32326  	0.18667  	-0.4662  	0.06727  	0.36728  	-0.0065  	0.02742  	0.37144  	-0.0549  	-0.0500  	-0.0676  	0.19326  	0.13779  	-0.1772  	-0.0928  	-0.0615  	0.00034  	-0.0165  	-0.0796  	0.04142  	-0.0288  	0.01497  	0.01671  	-0.0501  	-0.0383  	0.04146  	0.03285  	0.01601  	0.16443  	-0.0209  	0.04668  	0.00317  	0.00182  	0.67936  	
0.40437  	0.15600  	-0.7696  	-0.4772  	0.03927  	-0.6209  	-0.2839  	0.18238  	0.27588  	-0.3705  	-0.1696  	0.51923  	0.15305  	-0.9669  	-1.3610  	-0.2366  	0.60836  	0.09500  	1.29990  	-0.4212  	-0.2124  	1.31790  	0.24140  	-0.2655  	0.03430  	0.42675  	0.06074  	-0.1228  	-0.6180  	0.18427  	0.36336  	0.16525  	-0.0373  	-0.3278  	0.02838  	0.23427  	0.20566  	0.17873  	-0.5637  	-0.0241  	0.47142  	0.13008  	-0.0787  	0.46124  	-0.1264  	-0.0277  	-0.0938  	0.21758  	0.12752  	-0.1985  	-0.0815  	-0.0570  	-0.0038  	0.00463  	-0.0710  	0.03345  	-0.0366  	0.00189  	0.01779  	-0.0454  	-0.0318  	0.03727  	0.02228  	0.01879  	0.16655  	-0.0216  	0.04471  	0.00248  	0.00036  	0.69262  	
0.29161  	0.18582  	-0.8009  	-0.6204  	0.01215  	-0.7294  	-0.3332  	0.23342  	0.24097  	-0.4381  	-0.1198  	0.48973  	0.09114  	-1.1271  	-1.3214  	-0.3468  	0.73743  	-0.0560  	1.38120  	-0.7113  	-0.0660  	1.15536  	0.12833  	-0.2309  	0.00095  	0.51111  	0.16222  	-0.2664  	-0.5807  	0.16672  	0.41788  	0.13223  	-0.1464  	-0.4781  	-0.0660  	0.19562  	0.22325  	0.18944  	-0.6658  	-0.0921  	0.52320  	0.24213  	-0.1834  	0.53064  	-0.1708  	-0.0244  	-0.1211  	0.20290  	0.11385  	-0.2157  	-0.0845  	-0.0544  	-0.0037  	0.02644  	-0.0585  	0.03406  	-0.0328  	-0.0066  	0.02178  	-0.0312  	-0.0354  	0.04417  	0.00824  	0.02325  	0.16927  	-0.0228  	0.04322  	0.00180  	-0.0012  	0.70368  	
0.28057  	0.17029  	-0.8499  	-0.5476  	0.04928  	-0.7586  	-0.3493  	0.24620  	0.21940  	-0.4717  	-0.0705  	0.50806  	0.09906  	-1.1479  	-1.3113  	-0.3005  	0.74606  	-0.0507  	1.41731  	-0.7382  	-0.0455  	1.04990  	0.03072  	-0.2935  	-0.0111  	0.51008  	0.14201  	-0.2690  	-0.5268  	0.19582  	0.42521  	0.10415  	-0.1820  	-0.4827  	-0.0337  	0.22681  	0.20619  	0.20795  	-0.6954  	-0.1266  	0.53091  	0.26819  	-0.2041  	0.55307  	-0.1770  	-0.0063  	-0.1255  	0.21281  	0.09579  	-0.2171  	-0.0846  	-0.0454  	0.00354  	0.03583  	-0.0563  	0.03821  	-0.0268  	-0.0083  	0.01593  	-0.0303  	-0.0291  	0.03995  	-0.0011  	0.01739  	0.17168  	-0.0226  	0.04204  	0.00121  	-0.0025  	0.71732  	
0.20540  	0.10037  	-0.8985  	-0.6134  	0.02539  	-0.8066  	-0.3149  	0.18934  	0.21334  	-0.4008  	-0.0397  	0.49245  	0.11078  	-1.1625  	-1.4193  	-0.3135  	0.69304  	0.01074  	1.38605  	-0.6291  	-0.1069  	1.06124  	0.01418  	-0.3203  	-0.0027  	0.49917  	0.07711  	-0.1816  	-0.5168  	0.19062  	0.42509  	0.11374  	-0.1587  	-0.4505  	-0.0313  	0.27504  	0.16885  	0.18437  	-0.6614  	-0.1193  	0.54261  	0.24221  	-0.1812  	0.53533  	-0.1584  	-0.0128  	-0.1194  	0.21221  	0.10745  	-0.2076  	-0.0817  	-0.0475  	0.00338  	0.02705  	-0.0531  	0.03851  	-0.0239  	-0.0054  	0.01395  	-0.0325  	-0.0291  	0.03522  	0.00743  	0.01976  	0.17326  	-0.0226  	0.04159  	0.00054  	-0.0033  	0.72147  	
0.14434  	0.10620  	-0.9084  	-0.6949  	-0.0356  	-0.8429  	-0.2941  	0.13072  	0.23954  	-0.3319  	-0.0252  	0.43276  	0.03690  	-1.1491  	-1.5344  	-0.2799  	0.61285  	0.12425  	1.33693  	-0.4328  	-0.1428  	1.24329  	0.23619  	-0.3326  	0.04735  	0.41476  	0.11218  	-0.1377  	-0.6230  	0.17742  	0.33426  	0.16495  	-0.0814  	-0.3196  	0.01126  	0.29665  	0.26048  	0.18396  	-0.5659  	-0.0630  	0.46891  	0.14388  	-0.0900  	0.46412  	-0.1140  	-0.0281  	-0.1020  	0.20066  	0.12071  	-0.1914  	-0.0834  	-0.0576  	-0.0005  	0.01542  	-0.0609  	0.03766  	-0.0199  	0.00490  	0.01824  	-0.0349  	-0.0360  	0.03542  	0.02207  	0.02576  	0.17345  	-0.0219  	0.04202  	2.13690  	-0.0041  	0.72569  	
0.10239  	0.07341  	-0.9797  	-0.7870  	-0.0924  	-0.8243  	-0.2507  	0.03898  	0.23911  	-0.2890  	0.02618  	0.36899  	-0.0454  	-1.1481  	-1.6123  	-0.2494  	0.53777  	0.24894  	1.28549  	-0.1973  	-0.1750  	1.49413  	0.55636  	-0.3094  	0.15482  	0.32587  	0.15258  	-0.1097  	-0.7510  	0.20046  	0.22669  	0.21947  	0.00143  	-0.1667  	0.07487  	0.32784  	0.40303  	0.19427  	-0.4676  	0.00600  	0.38183  	0.00181  	0.01319  	0.39168  	-0.0464  	-0.0498  	-0.0842  	0.17490  	0.12579  	-0.1748  	-0.0895  	-0.0570  	-0.0027  	-0.0040  	-0.0729  	0.04022  	-0.0212  	0.01942  	0.01637  	-0.0444  	-0.0395  	0.03835  	0.03988  	0.01736  	0.17272  	-0.0219  	0.04279  	-0.0004  	-0.0050  	0.73360  	
0.12729  	0.10369  	-0.9850  	-0.7307  	-0.0579  	-0.8121  	-0.2605  	0.02814  	0.25249  	-0.3110  	0.01173  	0.39421  	-0.0625  	-1.1731  	-1.5797  	-0.2070  	0.53044  	0.26440  	1.28992  	-0.2057  	-0.1715  	1.48597  	0.57260  	-0.3035  	0.12597  	0.31708  	0.14406  	-0.1037  	-0.7335  	0.21647  	0.20984  	0.22208  	-0.0050  	-0.1640  	0.09013  	0.32479  	0.39405  	0.18679  	-0.4797  	0.03285  	0.37378  	0.00993  	0.01472  	0.39618  	-0.0481  	-0.0464  	-0.0805  	0.17538  	0.13318  	-0.1827  	-0.0864  	-0.0564  	-0.0032  	-0.0023  	-0.0721  	0.04376  	-0.0231  	0.01551  	0.02201  	-0.0449  	-0.0410  	0.04079  	0.03635  	0.01901  	0.16991  	-0.0215  	0.04346  	-0.0007  	-0.0047  	0.72645  	
0.09192  	0.07537  	-0.9994  	-0.7332  	-0.0310  	-0.8328  	-0.2518  	0.01546  	0.24342  	-0.2893  	-0.0309  	0.43185  	-0.0343  	-1.1825  	-1.5872  	-0.2107  	0.53460  	0.28372  	1.26865  	-0.1989  	-0.2485  	1.48024  	0.54632  	-0.3267  	0.11761  	0.31728  	0.10032  	-0.0415  	-0.6742  	0.21744  	0.22742  	0.21412  	-0.0023  	-0.1537  	0.05309  	0.32906  	0.33496  	0.18284  	-0.4565  	0.03947  	0.39789  	-0.0018  	0.03100  	0.40238  	-0.0494  	-0.0476  	-0.0784  	0.18034  	0.13787  	-0.1886  	-0.0873  	-0.0561  	-0.0046  	-0.0060  	-0.0692  	0.03641  	-0.0249  	0.01676  	0.02125  	-0.0458  	-0.0400  	0.04204  	0.04130  	0.02358  	0.16708  	-0.0221  	0.04391  	-0.0008  	-0.0036  	0.71682  	
